# DevOps 平台 Lessons Learned Log

> **说明**：本文件由 AI 自动维护，按时间倒序记录实战中发现的隐蔽风险与排障结论。
> **【强制更新规范】**
> 1. **单一主表原则**：所有新增经验必须**倒序**统一追加到下方的 Markdown 主表格中。**绝对严禁**在主表格之外另起任何零散的 `列表`、`次级小表格` 或 `### 分割的小标题`。
> 2. **记录门槛**：不记成功的流水账，只记录由于框架机制、脏数据或跨端约束导致的非直觉类障碍。
> 3. **字段约定**：The Defense 栏必须使用粗体加粗一句话结论，随后跟上落地措施。

| Timestamp | Domain | Phenomenon | Root Cause | Universal Rule (The Defense) |
| :--- | :--- | :--- | :--- | :--- 
| 2026-04-03 | Audit/Stable | 集成测试报错 `no such table: sys_audit_logs` | 测试环境使用私有内存 Engine 且未通过 `models` 包加载触发 `AuditLog` 的表注册，导致 `create_all` 漏创建审计表。 | **审计写入韧性 (Audit Ingestion Resilience)**：审计引擎的 `INSERT` 必须包裹在 `try-except` 中。若表缺失则仅记录 Error 日志而非中断业务事务，确保测试与迁移场景的鲁棒性。同时集测 Fixture 必须强制导入 `models` 总包。 |
| 2026-04-03 | Audit/Logic | 审计监听器触发 `TypeError: Object is not JSON serializable` 或 `AttributeError` | 监听器未过滤 `RelationshipProperty`，尝试对未加载或复杂的关联对象执行 JSON 序列化；或访问了不具备 `.prop` 的动态属性。 | **审计属性防御检查 (Defensive Attribute Auditing)**：1. **类型过滤**：必须通过 `isinstance(attr.prop, ColumnProperty)` 严格限定仅审计物理列。 2. **属性探针**：访问 `attr.prop` 前必须 `hasattr(attr, 'prop')`，杜绝因 SQLAlchemy 内部描述符导致的崩溃。 |
| 2026-04-03 | Database/SQLite | SQLite 执行 `drop_all` 报 `Can't sort tables for DROP` 循环外键冲突 | 虽然设置了 `use_alter=True`，但若未配置全局命名规范，SQLAlchemy 无法在 DDL 层面标记受影响的约束，导致删表顺序计算失败。 | **全局命名规范硬化 (Table Naming Convention)**：必须在 `Base.metadata` 中显式配置 `NAMING_CONVENTION`（含 ix/uq/ck/fk/pk 模板）。这是 SQLite 处理复杂循环依赖下 `create_all` / `drop_all` 的前置物理要求。 |
| 2026-04-03 | MDM/RBAC | 权限管理集成测试报 `KeyError: 'full_name'` 或字段缺失 | `TeamMemberService` 返回的实体投影未包含 `full_name`，但 Portal API 契约要求展示此字段，导致前端/集测解包失败。 | **实体-服务契约对齐 (Model-Service Alignment)**：Service 层在处理“扁平化”视图或投影查询时，必须显式映射所有在 API Schema 中定义的必填字段，尤其是 `full_name` 等涉及 UI 展示的级联计算属性。 |
| 2026-04-03 | Migration/Alembic | autogenerate 迁移包含大量无关 drop_table，执行时因视图依赖报错 | Autogenerate 将代码中不存在但 DB 中存在的历史表标记为 DROP。 | **Autogenerate 审计红线**：严禁盲执行 autogenerate 产出。单表新增场景优先手写纯净迁移。执行前用 --sql 预览。 |
| 2026-04-03 | Migration/Alembic | Alembic 警告 Revision present more than once，exit 0 但 DDL 未执行 | Windows 卷挂载 + Docker 共享 versions/ 目录时路径重复检测导致静默跳过。 | **容器内迁移物理验证**：迁移后必须通过 psql 验证表是否存在。遇 duplicate 警告可直接 psql 执行 DDL。 |
| 2026-04-03 | Audit/Architecture | 对 Collector 批量导入表启用审计监听后审计日志与业务数据 1:1 膨胀 | SQLAlchemy after_insert 对每行 flush 触发回调。 | **审计分级策略**：仅对管理表启用字段级追踪。采集表通过 sys_sync_logs 粗粒度记录。生产环境审计写入建议异步队列。 |
| 2026-04-02 | Database/Schema | MDM 核心表之间存在外键循环依赖 (User <-> Location/Organization) | 业务模型中存在“鸡生蛋，蛋生鸡”的所有权逻辑：用户属于某个地点 (`location_id`)，而该地点的负责人又是该用户 (`manager_user_id`)。在 SQLite 等不支持延迟约束检查的环境下，这会导致 `Base.metadata.drop_all` 因无法计算删表顺序而报 `IntegrityError`。 | **外键循环治理规则 (Circular FK Governance)**：1. **模型定义**：必须在 SQLAlchemy 的 `ForeignKey` 中显式指定 `name` 并设置 `use_alter=True`。2. **测试隔离**：在 SQLite 内存数据库的 `teardown` 环节，必须显式调用 `PRAGMA foreign_keys=OFF` 或利用连接断开自动释放内存库的特性，避开物理删表顺序报错。3. **同步策略**：采用两阶段对齐协议（先入库元数据存 raw_id，后异步自愈填充外键）。 |
| 2026-04-02 | Infra/Encoding | PowerShell echo >> file 将 UTF-16LE 追加到 UTF-8 文件导致编码浆糊 | PS 5.1 的 >> 默认输出 UTF-16LE。 | **PS 编码铁律**：严禁 echo >> file。必须使用 Add-Content -Encoding UTF8。已损坏文件通过编辑器全量覆写修复。 |
| 2026-04-02 | Security/Safety | safety check --ignore 逗号分隔多 ID 无效 | Safety CLI 要求每个 ID 单独一个 --ignore 标志。 | **CLI 参数语法验证**：使用前先 --help 确认格式。多 ID 正确语法为 --ignore ID1 --ignore ID2。 |
| 2026-04-02 | Testing/Mock | WeCom 同步负责人对齐统计为 0 (`AssertionError: 0 == 3`) | `OrganizationService.realign_all_managers` 返回的是 `{"success": X}`，而 `WeComWorker` 尝试读取 `stats.get("resolved", 0)`。由于 Key 不一致，统计结果永远为 0。 | **服务-Worker 契约一致性 (Service-Worker Contract)**：跨层调用的统计返回必须定义明确的 Schema 或统一使用特定的 Key（如 `success`）。向 Worker 层消费 Service 时必须严格校验 Key 名。 |
| 2026-04-02 | Testing/Mock | 部门同步时 `manager_raw_id` 在 DB 中全为 `NULL` | 1. 核心工具 `safe_id` 会将 ID 强转为 String。 2. 测试 Mock 数据 `MOCK_DEPT_DETAILS` 的 Key 是 Integer。 3. `client.get_department_detail(dept_id)` 因类型不匹配返回 None，导致负责人信息丢失。 | **防御式 Mock 类型适配 (Type-Agnostic Mocking)**：涉及 ID 查找的 Mock SideEffect 必须具备类型鲁棒性（同时尝试 `str(id)` 和 `int(id)`），或 Mock 数据 Key 强制与 `safe_id` 输出对齐为 String。 |
| 2026-04-02 | MDM/Core | `IdentityManager` 在测试环境下抛出 SQL 语法错误 (ON CONFLICT) | `IdentityManager` 使用了 PostgreSQL 特有的 `on_conflict_do_nothing` 语法。集成测试环境使用 SQLite，不识别该方言，导致身份映射逻辑崩溃。 | **方言感知幂等逻辑 (Dialect-Aware Idempotency)**：底层 Service 在执行高性能 SQL（如 upsert/on conflict）前必须检测 `session.bind.dialect.name`。若非目标 DB，必须提供兼容性的“先查后增” fallback 逻辑，确保测试可运行性。 |
| 2026-04-02 | Testing/Fixture | SQL 报错 `IntegrityError: UNIQUE constraint failed` 及 403 权限越权测试验证失效 | `conftest.py` 中全量启用了真实 DB 注入的 `authenticated_client`（不仅 mock，还把带 `SYSTEM_ADMIN` 角色的用户写入 DB）。局部文件却仍使用 `autouse` 夹具尝试插入同名角色，导致 SQLite 唯一键命中冲突。同时，由于依赖深度覆盖了 `get_current_user`，底层强拦截了 Token 解析逻辑，导致那些通过 Mock Token 测试 403 拦截的用例全部通过而报 FAIL（响应变成了 200）。 | **真实 DB 与 Mock 的隔离重构 (True DB vs True Mock)**：1. 全局 Fixture 一旦操作 DB 构建环境，局部组测试必须无条件清理自行干预此实体的 `autouse` 夹具。2. 当 API Token 入口被通过框架级的 Dependency Override 接管后，若需测试 403 拦截，应当以真实 DB 操作模拟：直接在测试函数内将 `mock_user.roles = []` 然后 `db.commit()`，以此在框架层级实现更真实贴近业务逻辑的 RBAC 拦截验证，而非去 mock 空的 jwt token 解析。 |
| 2026-04-01 | Testing/Isolation | 全量跑 integration 目录时部分测试毫无征兆地全红 | 个别测试文件在模块全局级别修改了 `app.dependency_overrides` 且未复原。一旦以套件形式运行，前序文件的 Mock 桩直接污染并替换了后续所有的真实依赖，导致连锁崩溃。 | **依赖覆盖作用域防毒墙 (Scoped Dependency Override)**：严禁在文件或模块的最外层直接操作 `dependency_overrides`！必须将其封装为带 `yield` 的 scoped pytest fixture，并强制在 teardown 阶段执行 `.clear()`，确保每次测试后无状态外泄。 |
| 2026-04-01 | Testing/Mocking | 鉴权守卫中的防御性 `getattr(user, "roles", None)` 未奏效，抛出非预期的子 Mock 报错 | Python 的 `MagicMock` 在被请求不存在的属性时，默认会凭空制造出一个巨大的子 Mock 对象返回！这意味着基于 `getattr(..., default)` 的 fallback 逻辑永远抢不到控制权（因为总能拿到一个 mock 对象而非 None），进而在后续运算时导致类型错误。 | **魔法对象反射陷阱与硬鉴权 (MagicMock Reflection Trap)**：在权限、路由等强安全性的分发层，针对多态入参进行检查时，必须优先用真正的类型检查器 `isinstance(user, Model)`；或者改用防篡改的推导判断（如显式的预检查或提前把 mock 降级）。若确实要查对象属性，测试框架必须在 mock 阶段显式赋予缺失的属性为 `None` 或用 `spec` 限定形态，杜绝 Mock 的“幽灵增殖”。 |
| 2026-04-01 | Testing/Mock | Jira Client 测试 patch `requests.get` 但实际走 `requests.Session.get` 导致拦截失败 | BaseClient 使用 `requests.Session()` 池化连接，内部调用不再走全局 `requests.get`。 | **统一入口 Mock**：凡是继承 BaseClient 的客户端，测试 mock 路径必须为 `requests.Session.get`/`.post`。提交客户端改动前强制匹配 patch 命名。 |
| 2026-04-01 | Testing/Fixture | Portal 测试引用 `authenticated_client` 夹具但全仓库无定义，一直处于 ERROR | 测试编写时理所当然地假设 conftest 后续会提供该夹具，但实际被遗忘，导致测试假死。 | **僵尸夹具排查**：依赖链必须闭环。任何新增夹具必须就地验证。CI 必须将 ERROR 状态等价于 FAIL 进行阻断。 |
